City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Sarkand,45.41,79.9186,56.37,36,96,6.38,KZ,2021-09-19 21:28:42
144,Saint-Augustin,51.226,-58.6502,57.6,41,6,13.56,CA,2021-09-19 21:28:42
145,Kidal,18.4411,1.4078,93.65,13,3,7.87,ML,2021-09-19 21:28:42
146,Whitefish,48.4111,-114.3376,56.5,73,75,9.22,US,2021-09-19 21:26:55
147,Mashhad,36.297,59.6062,68.14,42,0,4.61,IR,2021-09-19 21:28:18
148,Boquete,8.7833,-82.4333,73.85,83,95,3.0,PA,2021-09-19 21:28:43
149,Pisco,-13.7,-76.2167,66.25,68,0,18.41,PE,2021-09-19 21:24:51
150,Bedele,8.456,36.353,55.15,96,76,2.51,ET,2021-09-19 21:28:43
151,Novikovo,51.1537,37.8879,54.1,98,52,6.87,RU,2021-09-19 21:28:43
152,Ferrol,43.4832,-8.2369,62.71,87,72,8.48,ES,2021-09-19 21:28:44
153,Estelle,29.8458,-90.1067,87.06,62,31,3.0,US,2021-09-19 21:28:44
154,Ahipara,-35.1667,173.1667,58.23,80,22,7.56,NZ,2021-09-19 21:28:44
155,Carnarvon,-24.8667,113.6333,59.07,58,0,12.66,AU,2021-09-19 21:28:44
156,Altay,47.8667,88.1167,61.68,42,82,2.35,CN,2021-09-19 21:28:45
157,Pevek,69.7008,170.3133,30.99,74,90,8.55,RU,2021-09-19 21:24:22
158,Vao,-22.6667,167.4833,67.17,64,100,14.58,NC,2021-09-19 21:28:45
159,Khasan,42.4308,130.6434,61.88,78,100,8.46,RU,2021-09-19 21:28:45
160,Ouadda,8.0777,22.4007,69.24,97,100,1.88,CF,2021-09-19 21:28:46
161,Longyearbyen,78.2186,15.6401,39.04,93,75,3.44,SJ,2021-09-19 21:28:46
162,Poum,-20.2333,164.0167,71.62,63,9,19.42,NC,2021-09-19 21:28:46
163,San Patricio,28.017,-97.5169,97.52,38,1,5.5,US,2021-09-19 21:28:46
164,Alice Springs,-23.7,133.8833,62.15,72,65,0.0,AU,2021-09-19 21:28:47
165,Qaanaaq,77.484,-69.3632,15.58,90,93,6.46,GL,2021-09-19 21:28:47
166,Omboue,-1.5746,9.2618,76.15,81,60,6.78,GA,2021-09-19 21:28:47
167,Aklavik,68.2191,-135.0107,43.63,57,24,6.15,CA,2021-09-19 21:28:47
168,Kangaatsiaq,68.3065,-53.4641,31.35,64,100,2.57,GL,2021-09-19 21:28:48
169,Yellowknife,62.456,-114.3525,48.72,66,75,8.05,CA,2021-09-19 21:28:48
170,Fort Morgan,40.2503,-103.8,90.81,13,1,5.75,US,2021-09-19 21:28:48
171,Cap Malheureux,-19.9842,57.6142,70.29,67,100,1.99,MU,2021-09-19 21:28:48
172,Port Lincoln,-34.7333,135.8667,52.7,55,96,21.79,AU,2021-09-19 21:28:49
173,Port Hedland,-20.3167,118.5667,62.65,45,5,8.05,AU,2021-09-19 21:28:49
174,Bermeo,43.4209,-2.7215,64.81,82,16,10.96,ES,2021-09-19 21:28:49
175,Basco,20.4487,121.9702,84.09,77,99,11.48,PH,2021-09-19 21:28:49
176,Bengkulu,-3.8004,102.2655,73.76,89,93,2.46,ID,2021-09-19 21:24:44
177,Harper,4.375,-7.7169,78.19,82,73,3.2,LR,2021-09-19 21:28:50
178,Hithadhoo,-0.6,73.0833,81.82,77,100,3.65,MV,2021-09-19 21:28:50
179,North Bend,43.4065,-124.2243,67.91,71,1,11.5,US,2021-09-19 21:28:50
180,Mahebourg,-20.4081,57.7,70.09,60,40,5.75,MU,2021-09-19 21:28:51
181,Gold Coast,-28.0,153.4333,66.27,90,40,1.01,AU,2021-09-19 21:28:51
182,Iskateley,67.6803,53.1512,38.44,74,100,9.31,RU,2021-09-19 21:28:51
183,Ginir,7.1333,40.7,61.86,78,63,6.93,ET,2021-09-19 21:28:51
184,Chicama,-7.8447,-79.1469,61.34,67,14,11.43,PE,2021-09-19 21:28:52
185,Sao Filipe,14.8961,-24.4956,80.08,81,96,11.52,CV,2021-09-19 21:28:52
186,Queimadas,-10.9783,-39.6264,83.46,29,76,7.25,BR,2021-09-19 21:28:52
187,Ngorongoro,-3.2397,35.4875,53.69,43,61,5.23,TZ,2021-09-19 21:27:11
188,Tieling,42.2931,123.8414,65.93,94,100,3.13,CN,2021-09-19 21:28:53
189,Kavaratti,10.5669,72.642,81.39,80,100,11.92,IN,2021-09-19 21:28:53
190,Sinnamary,5.3833,-52.95,82.31,75,92,10.54,GF,2021-09-19 21:24:29
191,Talnakh,69.4865,88.3972,37.18,95,100,3.36,RU,2021-09-19 21:28:53
192,Waingapu,-9.6567,120.2641,78.49,81,99,10.0,ID,2021-09-19 21:28:53
193,Motygino,58.1831,94.7592,46.38,91,100,1.63,RU,2021-09-19 21:28:54
194,New Iberia,30.0035,-91.8187,85.96,60,90,4.61,US,2021-09-19 21:28:54
195,Tak,16.5833,98.8333,69.87,99,100,2.06,TH,2021-09-19 21:28:54
196,Alghero,40.5589,8.3181,69.89,68,0,5.75,IT,2021-09-19 21:28:55
197,Koumac,-20.5667,164.2833,71.1,61,22,6.26,NC,2021-09-19 21:28:55
198,Matale,7.4721,80.6234,73.98,96,83,2.15,LK,2021-09-19 21:28:55
199,Shache,38.4167,77.2406,70.21,16,59,1.05,CN,2021-09-19 21:28:55
200,Iraquara,-12.2486,-41.6194,76.03,27,11,5.73,BR,2021-09-19 21:28:56
201,Souillac,-20.5167,57.5167,70.18,60,40,5.75,MU,2021-09-19 21:28:56
202,Chaman,30.9236,66.4512,73.54,13,0,3.0,PK,2021-09-19 21:28:56
203,Zhanjiang,21.2815,110.3427,79.86,87,6,4.38,CN,2021-09-19 21:28:56
204,Esperance,-33.8667,121.9,51.64,61,80,12.37,AU,2021-09-19 21:28:57
205,Mehran,33.1222,46.1646,80.08,17,0,9.42,IR,2021-09-19 21:28:57
206,Namibe,-15.1961,12.1522,62.35,82,13,6.98,AO,2021-09-19 21:28:57
207,Noyabrsk,63.1994,75.4507,32.99,93,80,9.82,RU,2021-09-19 21:28:57
208,Iwanai,42.9744,140.5089,57.4,77,81,2.19,JP,2021-09-19 21:28:58
209,Meulaboh,4.1363,96.1285,73.26,94,100,9.4,ID,2021-09-19 21:28:58
210,Bozoum,6.3193,16.3799,70.11,92,100,1.52,CF,2021-09-19 21:28:58
211,Matara,5.9485,80.5353,78.22,89,47,7.02,LK,2021-09-19 21:28:58
212,Altamira,-3.2033,-52.2064,84.29,79,40,2.3,BR,2021-09-19 21:28:59
213,Mehamn,71.0357,27.8492,44.51,81,0,13.8,NO,2021-09-19 21:28:59
214,Semporna,4.4818,118.6112,73.6,83,68,2.48,MY,2021-09-19 21:28:59
215,Mayo,38.8876,-76.5119,83.12,55,1,8.99,US,2021-09-19 21:29:00
216,Dudinka,69.4058,86.1778,29.84,88,100,18.9,RU,2021-09-19 21:29:00
217,Airai,-8.9266,125.4092,56.97,56,33,3.98,TL,2021-09-19 21:29:00
218,Abu Samrah,35.3029,37.1841,74.53,45,0,5.44,SY,2021-09-19 21:25:14
219,Onguday,50.75,86.15,50.97,46,100,3.0,RU,2021-09-19 21:29:00
220,Provideniya,64.3833,-173.3,33.91,60,20,11.18,RU,2021-09-19 21:29:01
221,Bambanglipuro,-7.95,110.2833,75.22,88,71,7.92,ID,2021-09-19 21:29:01
222,Fairbanks,64.8378,-147.7164,45.3,73,75,5.75,US,2021-09-19 21:29:01
223,Nelson Bay,-32.7167,152.15,56.95,90,0,1.01,AU,2021-09-19 21:29:01
224,Katangli,51.7102,143.2326,42.91,74,98,11.03,RU,2021-09-19 21:29:02
225,Nantucket,41.2835,-70.0995,67.96,77,0,20.8,US,2021-09-19 21:27:59
226,Port Moresby,-9.4431,147.1797,72.82,100,40,6.91,PG,2021-09-19 21:29:02
227,Hadrut,39.52,47.0318,65.73,55,0,3.42,AZ,2021-09-19 21:29:02
228,Katsuura,35.1333,140.3,69.91,79,85,14.92,JP,2021-09-19 21:29:03
229,Coihaique,-45.5752,-72.0662,50.61,53,40,6.91,CL,2021-09-19 21:25:28
