City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Muros,ES,59.5,clear sky,42.7762,-9.0603,Apartment Av. Castelao
406,Yushu,CN,55.0,overcast clouds,44.8,126.5333,Honorable Institute
407,Vao,NC,69.93,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
409,Sao Joao Da Barra,BR,73.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
411,Nazret,ET,66.31,overcast clouds,8.55,39.2667,Liben Guesthouse
417,Ningxiang,CN,55.0,clear sky,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
418,Fortuna,US,70.14,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
419,Sovkhoznyy,RU,63.05,scattered clouds,45.2946,38.1138,Гостиный дворик
422,Feltre,IT,57.63,moderate rain,46.0235,11.907,Hotel Casagrande
423,Bantry,IE,56.68,overcast clouds,51.6833,-9.45,The Maritime Hotel
426,Atakpame,TG,72.25,overcast clouds,7.5333,1.1333,Hôtel sahélien
428,Aracati,BR,78.64,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
432,San Quintin,MX,73.72,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
433,Haimen,CN,79.9,few clouds,23.1935,116.6142,Jinghao Business Hotel
435,Vozrozhdeniye,RU,61.27,few clouds,44.5503,38.2136,Guesthouse Ecodom Kurochka Ryaba
436,Mollendo,PE,60.26,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
437,Warrington,GB,57.31,scattered clouds,53.3925,-2.5802,Patten Arms Hotel
442,Port-Gentil,GA,76.91,overcast clouds,-0.7193,8.7815,Fengshui Residence
443,Mwense,ZM,70.29,clear sky,-10.3845,28.698,Mwense Council Guest House
444,Inhambane,MZ,67.42,clear sky,-23.865,35.3833,Oceano
445,Bara,NG,77.74,overcast clouds,10.3744,10.7288,
451,Omboue,GA,74.93,overcast clouds,-1.5746,9.2618,Hotel Olako
453,Tala,EG,72.66,clear sky,30.6803,30.9429,مصطفى اشرف
454,Tongchuan,CN,62.87,clear sky,35.0806,109.0897,Tongchuan Hotel
457,Abadan,IR,71.55,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
458,San Vicente,AR,74.55,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
461,Belawan,ID,75.49,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
463,Rantepao,ID,67.1,heavy intensity rain,-2.9701,119.8978,Hotel Luta Resort
465,Santiago Del Estero,AR,70.97,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
467,Baiyin,CN,58.42,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
468,Carnot,CF,70.0,light rain,4.9409,15.8665,
471,Bogale,MM,75.96,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
472,Unidad,PH,75.81,broken clouds,8.535,126.2306,Baybay ni Duardo
476,Otane,NZ,61.18,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
477,Mersing,MY,76.77,overcast clouds,2.4312,103.8405,Timotel Hotel
479,Imbituba,BR,71.49,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
480,Najran,SA,76.15,few clouds,17.4924,44.1277,محمد هادي ال فطيح
481,Kuito,AO,67.64,scattered clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
482,Kushima,JP,75.83,few clouds,31.4583,131.2333,Hanaoka
484,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
487,Woodstock,CA,70.48,light rain,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
488,Leh,IN,56.48,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
490,Gediz,TR,66.22,clear sky,39.0417,29.41,Bilginler Kız Öğrenci Yurdu
491,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
492,Yatou,CN,67.5,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
493,Sleaford,GB,57.81,few clouds,52.9983,-0.4094,Stay at Watergate
494,Touba,CI,71.17,few clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
498,Aberdeen,GB,55.89,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
499,Port Macquarie,AU,59.54,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
500,Chokwe,MZ,70.83,clear sky,-24.5333,32.9833,Complexo Sonho Real
501,Jumla,NP,59.4,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
502,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
503,Cananeia,BR,70.43,few clouds,-25.0147,-47.9267,Pousada Ancoradouro
505,Madimba,TZ,70.3,clear sky,-10.4,40.3333,
508,Salalah,OM,79.41,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
509,Vila Franca Do Campo,PT,68.41,few clouds,37.7167,-25.4333,Pestana Bahia Praia
510,Coacoyul,MX,76.87,scattered clouds,17.8058,-99.11,Casa Abuelita Natalia
511,Novoselitskoye,RU,60.67,overcast clouds,44.7508,43.4369,
514,Mumford,GH,76.37,light rain,5.2618,-0.759,Spanish Villa
515,Hohhot,CN,55.4,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
516,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
522,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Poutur Pousada
523,Saint Anthony,US,62.8,overcast clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
524,Gbarnga,LR,71.01,broken clouds,6.9956,-9.4722,Passion Hotel 2
525,Cochrane,CA,60.67,scattered clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
526,Cristalina,BR,77.27,scattered clouds,-16.7686,-47.6136,HOTEL TOPAZIO
527,San Juan,AR,58.62,clear sky,-31.5375,-68.5364,Hotel Provincial
528,Natal,BR,77.65,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
530,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
531,Pemba,MZ,74.03,clear sky,-12.974,40.5178,Guesthouse Samotina
532,Crotone,IT,76.1,overcast clouds,39.0851,17.1178,Helios Hotel
533,Murgab,TM,67.28,clear sky,37.4966,61.9714,
534,Quatre Cocos,MU,68.22,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
535,Abha,SA,66.45,clear sky,18.2164,42.5053,Abha Hotel
536,Kita,ML,77.95,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
537,Mtwara,TZ,70.11,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
538,Murfreesboro,US,73.74,scattered clouds,35.8456,-86.3903,"Holiday Inn Express Murfreesboro Central, an IHG Hotel"
543,Yenagoa,NG,75.74,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
544,General Roca,AR,61.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
545,Naron,ES,61.65,clear sky,43.5167,-8.1528,Marcial
